Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-04-12 15:33:26,false,"Singapore Running","16.01","711","01:32:52","156","174","4.3","188","203","5:48","3:41","59","56","0.91","8.2","7.5","232","5:47","167","0.0","167","278","17,554","-16","No","00:00:02.7","17","01:32:39","01:46:54","15","34"
Running,2026-04-11 06:42:05,false,"Singapore Running","10.22","468","01:00:03","160","174","4.1","190","198","5:53","4:15","47","51","0.89","8.2","7.3","233","5:53","164","0.0","164","238","11,426","-16","No","00:01:11.9","11","00:59:57","01:18:17","2","29"
Running,2026-04-08 19:44:36,false,"Singapore Running","10.39","472","01:00:10","159","181","3.9","187","207","5:47","3:22","31","27","0.92","8.4","7.7","234","5:47","169","0.0","168","289","10,966","-13","No","00:01:56.2","11","01:00:03","01:04:34","9","24"
Running,2026-04-07 19:57:05,false,"Singapore Running","5.62","234","00:25:52","176","191","3.9","193","204","4:36","4:00","15","10","1.10","7.2","7.9","209","4:37","207","0.0","205","250","5,054","-8","No","00:02:41.4","6","00:25:50","00:28:25","10","21"
Running,2026-04-06 20:20:06,false,"Singapore Running","3.52","143","00:16:00","175","186","3.3","196","214","4:32","3:55","3","8","1.11","7.0","7.7","204","4:35","207","0.0","206","249","3,022","-6","No","00:02:20.0","4","00:15:55","00:22:38","17","24"
Running,2026-04-06 20:04:07,false,"Singapore Running","2.46","107","00:13:52","151","161","2.5","185","200","5:38","2:59","4","3","0.94","8.2","7.7","231","5:38","171","0.0","170","315","2,584","-3","No","00:02:42.7","3","00:13:49","00:14:36","19","23"
Running,2026-04-04 19:03:00,false,"Singapore Running","17.59","782","01:37:58","162","183","4.8","189","200","5:34","3:11","41","63","0.94","8.0","7.5","229","5:36","171","0.0","171","297","18,520","-15","No","00:03:01.7","18","01:37:40","01:49:50","3","38"
Running,2026-04-03 18:28:23,false,"Singapore Running","8.01","348","00:47:53","147","158","3.2","187","198","5:59","3:57","23","27","0.88","8.4","7.4","236","6:01","160","0.0","160","260","8,974","-6","No","00:00:03.9","9","00:47:41","00:50:53","11","26"
Running,2026-04-02 19:43:20,false,"Singapore Running","15.37","688","01:24:14","164","185","5.0","188","205","5:29","3:42","42","39","0.97","8.0","7.7","228","5:28","178","0.0","177","284","15,882","-17","No","00:01:53.0","16","01:23:57","01:41:10","5","21"
Running,2026-03-31 18:32:56,false,"Singapore Running","5.19","229","00:31:04","147","163","3.0","182","200","5:59","4:11","11","19","0.89","8.3","7.4","234","5:58","161","0.0","158","267","5,806","-6","No","00:01:02.5","6","00:30:59","00:38:31","6","22"
Running,2026-03-30 20:11:02,false,"Singapore Running","4.27","166","00:18:42","174","193","3.5","198","212","4:23","3:36","6","5","1.13","6.8","7.6","198","4:27","214","0.0","215","285","3,152","-7","No","00:01:08.5","5","00:18:38","00:28:00","11","20"
Running,2026-03-29 18:11:25,false,"Singapore Running","17.11","740","01:36:44","156","173","4.4","190","214","5:39","4:10","55","58","0.91","8.0","7.3","228","5:41","169","0.0","167","233","18,514","-16","No","00:00:30.2","18","01:36:27","01:55:56","5","29"
Treadmill Running,2026-03-28 19:43:18,false,"Treadmill Running","5.49","237","00:30:01","161","180","3.4","186","210","5:28","3:49","--","--","1.02","7.7","7.7","221","--","179","0.0","171","257","5,726","-7","No","00:02:11.7","6","00:28:11","00:30:01","--","--"
Treadmill Running,2026-03-27 08:04:54,false,"Treadmill Running","0.47","18","00:02:29.5","146","158","0.8","191","195","5:20","5:00","--","--","0.98","7.9","7.7","226","--","178","0.0","176","201","464","-1","No","00:02:29.5","1","00:02:29","00:02:29.5","--","--"
Treadmill Running,2026-03-27 07:39:28,false,"Treadmill Running","1.69","77","00:10:22","155","172","2.3","177","196","6:07","4:54","--","--","0.98","7.9","7.6","227","--","169","0.0","154","202","1,780","-3","No","00:04:12.7","2","00:09:13","00:11:08","--","--"
Running,2026-03-24 19:51:58,false,"Singapore Running","5.55","246","00:28:08","174","192","3.9","194","208","5:04","4:06","12","18","1.01","7.6","7.6","217","5:03","196","0.0","190","247","5,304","-8","No","00:02:29.4","6","00:28:06","00:28:08","9","21"
Running,2026-03-23 19:31:05,false,"Singapore Running","14.01","624","01:24:32","153","174","4.0","187","202","6:02","4:16","39","44","0.88","8.4","7.3","235","6:02","162","0.0","160","234","15,892","-15","No","00:00:04.4","15","01:24:04","01:34:54","7","21"
Running,2026-03-21 18:18:03,false,"Singapore Running","11.25","522","01:06:00","162","172","4.3","188","203","5:52","4:07","39","43","0.91","8.3","7.5","233","5:49","169","0.0","168","258","12,394","-8","No","00:01:31.7","12","01:05:47","01:06:58","9","25"
Running,2026-03-19 19:42:07,false,"Singapore Running","4.01","157","00:17:34","177","190","3.5","201","231","4:23","3:44","9","13","1.11","6.7","7.4","195","4:26","213","0.0","213","268","3,130","-7","No","00:00:03.0","5","00:17:29","00:24:45","7","15"
Running,2026-03-18 06:53:14,false,"Singapore Running","12.20","544","01:08:29","160","186","4.4","192","231","5:37","3:40","25","35","0.92","7.9","7.2","224","5:37","171","0.0","170","288","13,286","-19","No","00:00:56.4","13","01:08:04","01:19:00","2","14"
