date,type,km,target_pace,notes
2026-04-20,easy,10,6:05,
2026-04-22,interval,8,4:20,1km WU + 6×800m @ 4:20 (90s rec) + 1km CD
2026-04-24,easy,8,6:05,
2026-04-26,long_run,17,5:55,
2026-04-27,tempo,8,5:05,2km WU + 5km tempo + 1km CD
2026-04-29,easy,9,6:05,
2026-05-01,interval,8.5,4:25,1km WU + 5×1000m @ 4:25 (2min rec) + 1km CD
2026-05-03,long_run,18,5:55,
2026-05-05,race_pace,10,4:44,2km easy + 6km @ 4:44 + 2km easy
2026-05-07,easy,9,6:05,
2026-05-09,tempo,9,5:05,2km WU + 6km tempo + 1km CD
2026-05-11,long_run,19,5:55,
2026-05-12,interval,10,4:20,1km WU + 8×800m @ 4:20 (90s rec) + 1km CD
2026-05-14,easy,10,6:05,
2026-05-16,race_pace,12,4:44,2km easy + 8km @ 4:44 + 2km easy
2026-05-18,long_run,20,5:50,
2026-05-19,tempo,11,5:05,2km WU + 8km tempo + 1km CD
2026-05-21,easy,10,6:05,
2026-05-23,race_pace,14,4:44,2km easy + 10km @ 4:44 + 2km easy
2026-05-25,long_run,21,5:50,First time beyond 20km — stay easy
2026-05-26,interval,9.5,4:20,1km WU + 5×1200m @ 4:20 (2min rec) + 1km CD
2026-05-28,easy,11,6:05,
2026-05-30,race_pace,16,4:44,2km easy + 12km @ 4:44 + 2km easy
2026-06-01,long_run,22,5:50,
2026-06-02,tempo,12,5:05,2km WU + 9km tempo + 1km CD
2026-06-04,easy,11,6:05,
2026-06-06,race_pace,17,4:44,2km easy + 13km @ 4:44 + 2km easy
2026-06-08,long_run,22,5:45,
2026-06-09,interval,11,4:20,1km WU + 6×1200m @ 4:20 (2min rec) + 1km CD
2026-06-11,easy,12,6:05,
2026-06-13,race_pace,19,4:44,2km easy + 15km @ 4:44 + 2km easy
2026-06-15,long_run,23,5:45,Peak long run
2026-06-16,tempo,13,5:05,2km WU + 10km tempo + 1km CD
2026-06-18,easy,12,6:05,
2026-06-20,race_pace,21,4:44,2km easy + 17km @ 4:44 + 2km easy
2026-06-22,long_run,22,5:45,
2026-06-23,interval,12,4:20,1km WU + 5×1600m @ 4:20 (2.5min rec) + 1km CD
2026-06-25,easy,11,6:05,
2026-06-27,race_pace,19,4:44,2km easy + 15km @ 4:44 + 2km easy
2026-06-29,long_run,21,5:50,
2026-06-30,tempo,12,5:05,2km WU + 9km tempo + 1km CD
2026-07-02,easy,10,6:05,
2026-07-04,race_pace,14,4:44,2km easy + 10km @ 4:44 + 2km easy
2026-07-06,long_run,18,5:55,Backing off — trust the work done
2026-07-07,easy,9,6:05,
2026-07-09,interval,6,4:20,1km WU + 4×800m @ 4:20 (90s rec) + 1km CD
2026-07-11,race_pace,8,4:44,Feel the pace — should feel easy by now
2026-07-13,easy,13,6:00,Final long run — comfortable
2026-07-14,easy,6,6:10,Stay loose
2026-07-16,easy,5,6:05,3km easy + 4×100m strides @ race effort
2026-07-17,easy,4,6:15,Last tune-up
2026-07-18,easy,3,6:15,Shakeout — optional
2026-07-19,race_pace,21.1,4:44,Goal: 1:40:00
